DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Bulgaria,2024,3.9,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Switzerland,2013,4.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Switzerland,2014,5.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Switzerland,2015,4.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Switzerland,2016,5.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Switzerland,2017,5.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Switzerland,2018,5.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Switzerland,2019,4.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Switzerland,2020,5.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Switzerland,2021,5.3,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Switzerland,2022,4.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Switzerland,2023,4.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Switzerland,2024,4.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Cyprus,2013,15.2,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Cyprus,2014,15.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Cyprus,2015,14.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Cyprus,2016,13.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Cyprus,2017,11.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Cyprus,2018,8.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Cyprus,2019,7.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Cyprus,2020,7.5,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Cyprus,2021,7.3,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Cyprus,2022,6.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Cyprus,2023,5.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Cyprus,2024,5.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Czechia,2013,8.3,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Czechia,2014,7.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Czechia,2015,6.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Czechia,2016,4.7,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Czechia,2017,3.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Czechia,2018,2.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Czechia,2019,2.4,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Czechia,2020,3.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Czechia,2021,3.4,b,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Czechia,2022,2.8,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Czechia,2023,3.1,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Czechia,2024,3.0,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Germany,2013,4.9,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Germany,2014,4.6,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Germany,2015,4.2,,
ESTAT:LFSA_URGAN(1.0),17/04/26 11:00:00,Annual,Percentage,Females,From 15 to 74 years,Total,Germany,2016,3.8,,
