DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Switzerland,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Switzerland,2016,99.47,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Switzerland,2017,100.11,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Switzerland,2018,101.03,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Switzerland,2019,101.41,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Switzerland,2020,100.56,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Switzerland,2021,101.04,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Switzerland,2022,103.74,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Switzerland,2023,106.10,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Switzerland,2024,107.25,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Cyprus,2013,101.84,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Cyprus,2014,101.57,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Cyprus,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Cyprus,2016,98.78,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Cyprus,2017,99.45,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Cyprus,2018,100.23,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Cyprus,2019,100.78,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Cyprus,2020,99.67,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Cyprus,2021,101.92,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Cyprus,2022,110.17,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Cyprus,2023,114.50,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Cyprus,2024,117.09,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Czechia,2013,99.3,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Czechia,2014,99.8,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Czechia,2015,100.0,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Czechia,2016,100.7,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Czechia,2017,103.1,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Czechia,2018,105.1,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Czechia,2019,107.8,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Czechia,2020,111.4,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Czechia,2021,115.1,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Czechia,2022,132.1,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Czechia,2023,147.9,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Czechia,2024,151.9,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Germany,2013,98.6,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Germany,2014,99.3,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Germany,2015,100.0,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Germany,2016,100.4,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Germany,2017,102.1,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Germany,2018,104.0,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Germany,2019,105.5,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Germany,2020,105.8,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Germany,2021,109.2,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Germany,2022,118.7,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Germany,2023,125.9,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Germany,2024,129.0,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Denmark,2013,99.4,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Denmark,2014,99.8,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Denmark,2015,100.0,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Denmark,2016,100.0,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Denmark,2017,101.1,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Denmark,2018,101.8,,
ESTAT:PRC_HICP_AIND(1.0),06/02/26 23:00:00,Annual,Annual average index,All-items HICP,Denmark,2019,102.5,,
