DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Cyprus,2013,92.80,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Cyprus,2014,93.43,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Cyprus,2015,91.93,b,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Cyprus,2016,91.65,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Cyprus,2017,91.62,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Cyprus,2018,90.26,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Cyprus,2019,91.70,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Cyprus,2020,94.14,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Cyprus,2021,95.32,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Cyprus,2022,100.16,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Cyprus,2023,107.65,,
ESTAT:PRC_HPI_A(1.0),07/04/26 11:00:00,Annual,Purchases of existing dwellings,"Annual average index, 2010=100",Cyprus,2024,115.22,,
